2019-08-20 18:17:35,b'RT @caitlinmurr: Less than three months before the 2020 Olympics start. Both the #USWNT and US Soccer had asked for the trial date to be se\xe2\x80\xa6'
2019-08-20 17:58:43,"b'RT @andygreder: Article: When #USWNT comes to St. Paul in two weeks, this question will be asked:\n\nWhat about adding a women\xe2\x80\x99s pro team to\xe2\x80\xa6'"
2019-08-20 17:55:08,"b'RT @andygreder: Article: When #USWNT comes to St. Paul in two weeks, this question will be asked:\n\nWhat about adding a women\xe2\x80\x99s pro team to\xe2\x80\xa6'"
2019-08-20 17:47:10,b'Becky Sauerbrunn should be the ONLY #USWNT captain until she retires. She\xe2\x80\x99s done too much to be repeatedly brushed\xe2\x80\xa6 https://t.co/TBIGoTfR1g'
2019-08-20 17:44:30,"b'RT @andygreder: Article: When #USWNT comes to St. Paul in two weeks, this question will be asked:\n\nWhat about adding a women\xe2\x80\x99s pro team to\xe2\x80\xa6'"
2019-08-20 17:40:40,b'@TheOwensday @ussoccer @CACSoccer The #USMNT will never win a World Cup because of the lack of #ProRelforUSA And gu\xe2\x80\xa6 https://t.co/den2rGKXVp'
2019-08-20 17:39:19,"b'RT @andygreder: Article: When #USWNT comes to St. Paul in two weeks, this question will be asked:\n\nWhat about adding a women\xe2\x80\x99s pro team to\xe2\x80\xa6'"
2019-08-20 17:37:45,"b'Article: When #USWNT comes to St. Paul in two weeks, this question will be asked:\n\nWhat about adding a women\xe2\x80\x99s pro\xe2\x80\xa6 https://t.co/a6YErbeNju'"
2019-08-20 17:33:27,"b""RT @HuddleUpPodcast: WE'RE BAAAAAAAACK!!!!!!\n\nJoin your favorite #PigskinPodcast as we prep you for the upcoming season in our first episod\xe2\x80\xa6"""
2019-08-20 17:33:21,"b""WE'RE BAAAAAAAACK!!!!!!\n\nJoin your favorite #PigskinPodcast as we prep you for the upcoming season in our first epi\xe2\x80\xa6 https://t.co/sYq0DlXfpE"""
2019-08-20 17:30:18,b'@thegoodgodabove America is the land of the best soccer players.\n\n... #uswnt'
